loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],fwAltP,fwAltI,fwAltD,fwAltOut,fwPosP,fwPosI,fwPosD,fwPosOut,rcData[0],rcData[1],rcData[2],rcData[3],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),amperage (A),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],attitude[0],attitude[1],attitude[2],motor[0],servo[0],servo[1],servo[2],servo[3],servo[4],servo[5],servo[6],servo[7],servo[8],servo[9],servo[10],servo[11],servo[12],servo[13],servo[14],servo[15],navState,navFlags,navEPH,navEPV,navPos[0],navPos[1],navPos[2],navVel[0],navVel[1],navVel[2],navTgtVel[0],navTgtVel[1],navTgtVel[2],navTgtPos[0],navTgtPos[1],navTgtPos[2],navSurf,energyCumulative (mAh),flightModeFlags (flags),stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
10336,2551495042,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,640.850,55.410,-309,992,1,0,0,49,-53,2069,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,0,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51733,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10368,2551527099,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.060,55.110,-309,992,1,0,0,48,-52,2069,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39059,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51710,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10369,2551528102,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.060,55.110,-309,992,1,0,0,48,-52,2069,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51710,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10370,2551529108,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.060,55.110,-309,992,1,0,0,48,-53,2069,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51710,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10371,2551530111,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.060,55.110,-309,992,1,0,0,48,-54,2068,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51710,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10372,2551531109,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.060,55.110,-309,992,1,0,0,48,-54,2067,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51710,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10373,2551532111,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.060,55.110,-309,992,1,0,0,49,-54,2067,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51710,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10374,2551533114,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.240,55.320,-309,992,1,0,0,49,-54,2067,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51687,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10375,2551534118,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.240,55.320,-309,992,1,0,0,49,-53,2068,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51687,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
10376,2551535116,0,0,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1495,1497,1896,0,0,0,1756,641.240,55.320,-309,992,1,0,0,49,-53,2069,39,-27,388,1756,1500,1501,1497,1497,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1,1000,100,0,0,-282,0,0,0,0,0,0,0,0,0,0,39060,ARM|BLACKBOX,SMALL_ANGLE|FIXED_WING_LEGACY|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|ESC_SENSOR_ENABLED|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,69,16984,51687,0,0,0,509,485,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,413243,90
