loopIteration,time (us),axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest (V),amperageLatest (A),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],energyCumulative (mAh),flightModeFlags (flags),stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid
4816,20369779,-1,-1,0,-184,-237,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-115,170,2054,777,0,0,0,IDLE,0,0
4832,20402126,-1,-2,0,-185,-238,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-114,167,2053,777,0,ARM|SERVO3,0,IDLE,1,1
4833,20404126,-1,-2,0,-185,-238,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-113,167,2052,777,0,ARM|SERVO3,0,IDLE,1,1
4834,20406126,-1,-2,0,-185,-238,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-113,167,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4835,20408128,-1,-2,0,-185,-238,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-113,166,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4836,20410128,-1,-2,0,-185,-238,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-113,166,2050,777,0,ARM|SERVO3,0,IDLE,1,1
4837,20412128,-2,-2,0,-185,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-113,166,2050,777,0,ARM|SERVO3,0,IDLE,1,1
4838,20414128,-1,-2,0,-185,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-112,166,2050,777,0,ARM|SERVO3,0,IDLE,1,1
4839,20416128,-1,-2,0,-185,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-112,166,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4840,20418447,-1,-2,0,-185,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-112,166,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4841,20420450,-1,-2,0,-185,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-112,166,2052,777,0,ARM|SERVO3,0,IDLE,1,1
4842,20422452,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-112,166,2053,777,0,ARM|SERVO3,0,IDLE,1,1
4843,20424450,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-111,166,2053,777,0,ARM|SERVO3,0,IDLE,1,1
4844,20426454,-1,-1,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-111,166,2053,777,0,ARM|SERVO3,0,IDLE,1,1
4845,20428453,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-111,166,2053,777,0,ARM|SERVO3,0,IDLE,1,1
4846,20430453,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-111,166,2053,777,0,ARM|SERVO3,0,IDLE,1,1
4847,20432454,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-111,166,2052,777,0,ARM|SERVO3,0,IDLE,1,1
4848,20434455,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-111,166,2052,777,0,ARM|SERVO3,0,IDLE,1,1
4849,20436453,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,742,0,0,0,-111,166,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4850,20438455,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,741,0,0,0,-111,166,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4851,20440455,-1,-2,0,-186,-239,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,741,0,0,0,-111,166,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4852,20442455,-1,-2,0,-186,-240,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,741,0,0,0,-111,166,2051,777,0,ARM|SERVO3,0,IDLE,1,1
4853,20444456,-1,-2,0,-186,-240,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,741,0,0,0,-111,166,2052,777,0,ARM|SERVO3,0,IDLE,1,1
4854,20446458,-1,-2,0,-186,-240,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,741,0,0,0,-111,166,2052,777,0,ARM|SERVO3,0,IDLE,1,1
4855,20448456,-1,-2,0,-186,-240,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,741,0,0,0,-111,166,2053,777,0,ARM|SERVO3,0,IDLE,1,1
4856,20450456,-1,-2,0,-186,-240,-16,0,0,0,0,0,-3,-4,0,1328,-1,-2,0,328,0.000,0.000,-90,741,0,0,0,-112,167,2054,777,0,ARM|SERVO3,0,IDLE,1,1
