loopIteration,time (us),axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest (V),amperageLatest (A),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],energyCumulative (mAh),flightModeFlags (flags),stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid
6416,60658767,-1,-1,0,-385,-400,205,1,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-276,734,0,0,0,-112,167,2071,615,0,0,0,IDLE,0,0
6432,60691148,-2,-2,0,-386,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-272,734,0,0,0,-111,166,2070,615,0,ARM|SERVO3,0,IDLE,1,1
6433,60693150,-1,-1,0,-386,-400,205,1,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-112,167,2071,615,0,ARM|SERVO3,0,IDLE,1,1
6434,60695150,-1,-2,0,-386,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-112,167,2071,615,0,ARM|SERVO3,0,IDLE,1,1
6435,60697151,-1,-2,0,-386,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-112,167,2071,615,0,ARM|SERVO3,0,IDLE,1,1
6436,60699154,-1,-2,0,-386,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-113,167,2071,615,0,ARM|SERVO3,0,IDLE,1,1
6437,60701157,-1,-1,0,-386,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-113,167,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6438,60703154,-1,-1,0,-386,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-113,167,2071,615,0,ARM|SERVO3,0,IDLE,1,1
6439,60705156,-1,-1,0,-386,-400,205,0,0,0,1,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-114,167,2070,615,0,ARM|SERVO3,0,IDLE,1,1
6440,60707508,-2,-2,0,-386,-400,205,0,-1,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-114,168,2069,615,0,ARM|SERVO3,0,IDLE,1,1
6441,60709508,-2,-3,0,-386,-400,205,-1,-1,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-270,734,1,0,0,-114,168,2068,615,0,ARM|SERVO3,0,IDLE,1,1
6442,60711510,-2,-3,0,-386,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-270,734,1,0,0,-114,168,2068,615,0,ARM|SERVO3,0,IDLE,1,1
6443,60713510,-1,-2,0,-386,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-114,169,2068,615,0,ARM|SERVO3,0,IDLE,1,1
6444,60715510,-1,-2,0,-387,-400,205,1,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-113,169,2069,615,0,ARM|SERVO3,0,IDLE,1,1
6445,60717510,-1,-2,0,-387,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-270,734,0,0,0,-113,169,2070,615,0,ARM|SERVO3,0,IDLE,1,1
6446,60719510,-1,-3,0,-387,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2070,615,0,ARM|SERVO3,0,IDLE,1,1
6447,60721510,-2,-2,0,-387,-400,205,-1,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-269,734,1,0,0,-113,170,2071,615,0,ARM|SERVO3,0,IDLE,1,1
6448,60723510,-2,-2,0,-387,-400,205,-1,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-269,734,1,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6449,60725510,-2,-1,0,-387,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6450,60727513,-1,-2,0,-387,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6451,60729515,-1,-2,0,-387,-400,205,1,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6452,60731515,-1,-2,0,-387,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6453,60733515,-1,-2,0,-387,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6454,60735516,-2,-2,0,-387,-400,205,0,0,0,0,0,-3,-5,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6455,60737516,-1,-2,0,-387,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2072,615,0,ARM|SERVO3,0,IDLE,1,1
6456,60739523,-1,-1,0,-387,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2071,615,0,ARM|SERVO3,0,IDLE,1,1
6457,60741524,-1,-2,0,-387,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-269,734,0,0,0,-113,170,2070,615,0,ARM|SERVO3,0,IDLE,1,1
6458,60743531,-2,-2,0,-387,-400,205,0,0,0,0,0,-3,-4,0,1242,-1,-2,0,242,0.000,0.000,-271,734,0,0,0,-114,170,2069,615,0,ARM|SERVO3,0,IDLE,1,1
