time (us),vbat,amperage,throttle,motor,rpm,Power (W),Thrust (lb),Lift,DYNAMIC PRESSURE
2551495042,640.85,55.41,1896,1756,413243,35509.4985,16.264,0.275,0.278
2551527099,641.06,55.11,1896,1756,413243,35328.8166,16.264,0.275,0.278
2551528102,641.06,55.11,1896,1756,413243,35328.8166,16.264,0.275,0.278
2551529108,641.06,55.11,1896,1756,413243,35328.8166,16.264,0.275,0.278
2551530111,641.06,55.11,1896,1756,413243,35328.8166,16.264,0.275,0.278
2551531109,641.06,55.11,1896,1756,413243,35328.8166,16.264,0.275,0.278
2551532111,641.06,55.11,1896,1756,413243,35328.8166,16.264,0.275,0.278
2551533114,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551534118,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551535116,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551536118,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551537122,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551538128,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551539131,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551540140,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551541153,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551542166,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551543169,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551544177,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551545191,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551546210,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551547215,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551548222,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551549234,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551550244,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551551249,641.24,55.32,1896,1756,413243,35473.3968,16.264,0.275,0.278
2551552252,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551553254,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551554257,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551555255,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551556256,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551557260,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551558264,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551559262,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551560265,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551561266,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551562273,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551563269,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
2551564272,641.4,55.54,1896,1756,413243,35623.356,16.264,0.275,0.278
